,original_title,budget,genres,id,keywords,original_language,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,tagline,title,vote_average,vote_count,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,profit,ret_rate,rev_rate,log_rev_rate,log_budget,log_revenue,Profitable,all_keywords,lang_en
222,Along Came a Spider,60000000,"['Crime', 'Mystery', 'Thriller', 'Action']",2043,"['psychology', 'police operation', 'police', 'psychologist']",en,"When a teacher kidnaps a girl from a prestigious school, homicide detective, Alex Cross takes the case and teams up with young security agent, Jezzie Flannigan in hope of finding the girl and stopping the brutal psychopath. Every second counts as Alex and Jezzie attempt to track down the kidnapper before the spider claims another victim for its web.",21.252797,"['Paramount Pictures', 'AZL Productions KG', 'David Brown Productions', 'MFP Munich Film Partners', 'Phase 1 Productions', 'Revelations Entertainment']","['Canada', 'Germany', 'United States of America']",2001-04-06,105178561,104.0,"['English', 'P\\u0443\\u0441\\u0441\\u043a\\u0438\\u0439']",The game is far from over.,Along Came a Spider,6.1,400,Color,Lee Tamahori,133.0,104.0,93.0,878.0,Billy Burke,11000.0,Morgan Freeman,59232,17109,Monica Potter,0.0,"['kidnapping', 'partner', 'ransom', 'school', 'secret service']",http://www.imdb.com/title/tt0164334/?ref_=fn_tt_tt_1,317.0,English,USA,R,2001.0,2000.0,6.3,2.35,0,45178561,0.7529760166666667,1.7529760166666666,0.5613149245372739,17.909855120186375,18.47117004472365,True,"['ransom', 'school', 'kidnapping', 'police', 'psychology', 'police operation', 'psychologist', 'secret service', 'partner']",True
224,Alpha and Omega,20000000,"['Family', 'Animation']",12819,"['wolf', 'arranged marriage', 'forbidden love', 'road trip', 'park', 'park ranger', 'howling', 'social status']",en,"Two mismatched wolves embark on a cross-country quest to get back home and restore peace in their pack after being relocated thousands of miles away by well-meaning park rangers. Quick-witted Humphrey (voice of Justin Long) likes to frolic with friends and play video games with squirrels; disciplined Kate (voice of Hayden Panettiere) likes to call the shots and hunt caribou. Normally, an omega wolf like Humphrey would never stand a chance with an alpha wolf like Kate, but when they're both transported halfway across the country they must work together to get back to their natural habitat. And it won't be easy either, because the one thing Humphrey and Kate can agree on is that they don't have anything in common. Perhaps by working together toward a common goal, however, the two contentious traveling companions will finally realize that even lone wolves can use a helping paw every once in a while.",12.300789,"['Lions Gate Family Entertainment', 'Relativity Media', 'Crest Animation Productions']","['United States of America', 'India']",2010-09-17,39300000,88.0,['English'],A Pawsome 3D Adventure,Alpha and Omega,5.3,124,Color,Anthony Bell,84.0,90.0,0.0,518.0,Larry Miller,681.0,Kevin Sussman,10986,2486,Christine Lakin,0.0,"['arranged marriage', 'geese', 'idaho', 'national park', 'park']",http://www.imdb.com/title/tt1213012/?ref_=fn_tt_tt_1,84.0,English,USA,PG,2010.0,611.0,5.3,1.85,0,19300000,0.965,1.965,0.6754922453212246,16.811242831518264,17.48673507683949,True,"['geese', 'arranged marriage', 'road trip', 'park', 'howling', 'national park', 'wolf', 'forbidden love', 'park ranger', 'social status', 'idaho']",True
225,Alvin and the Chipmunks,60000000,"['Comedy', 'Music', 'Family', 'Fantasy', 'Animation']",6477,"['pop', 'pop star', 'record producer', 'surprise', 'approach', 'forest', 'music', 'concert', 'friendship', 'performance', 'chipmunk', 'talking animal', 'songwriter', 'talking to animals', 'duringcreditsstinger']",en,"A struggling songwriter named Dave Seville finds success when he comes across a trio of singing chipmunks: mischievous leader Alvin, brainy Simon, and chubby, impressionable Theodore.",47.336034000000005,"['Dune Entertainment', 'Regency Enterprises', 'Fox 2000 Pictures', 'Bagdasarian Productions']",['United States of America'],2007-12-13,361366633,92.0,"['English', 'Espa\\u00f1ol', 'Fran\\u00e7ais', '\\u65e5\\u672c\\u8a9e']",Get your squeak on!,Alvin and the Chipmunks,5.5,1177,Color,Tim Hill,131.0,92.0,25.0,639.0,Beth Riesgraf,1000.0,Jesse McCartney,57276,2847,Matthew Gray Gubler,0.0,"['based on cartoon', 'chipmunk', 'concert', 'fart joke', 'talking animal']",http://www.imdb.com/title/tt0952640/?ref_=fn_tt_tt_1,146.0,English,USA,PG,2007.0,718.0,5.2,1.85,0,301366633,5.022777216666666,6.022777216666666,1.795548484612194,17.909855120186375,19.70540360479857,True,"['talking to animals', 'friendship', 'pop star', 'approach', 'concert', 'talking animal', 'chipmunk', 'pop', 'duringcreditsstinger', 'songwriter', 'fart joke', 'music', 'forest', 'based on cartoon', 'performance', 'surprise', 'record producer']",True
226,Alvin and the Chipmunks: Chipwrecked,75000000,"['Comedy', 'Fantasy', 'Family', 'Music', 'Animation']",55301,"['sequel', 'chipmunk', 'cruise ship', 'overboard']",en,"Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.",23.473004,['Fox 2000 Pictures'],['United States of America'],2011-12-14,342695435,87.0,['English'],This holiday it's gonna get squeaky.,Alvin and the Chipmunks: Chipwrecked,5.4,484,Color,Mike Mitchell,91.0,87.0,31.0,733.0,Jesse McCartney,1000.0,Amy Poehler,22838,4073,Lauren Gottlieb,0.0,"['chipmunk', 'cruise ship', 'football ball', 'overboard', 'tennis ball']",http://www.imdb.com/title/tt1615918/?ref_=fn_tt_tt_1,56.0,English,USA,G,2011.0,1000.0,4.4,1.85,0,267695435,3.569272466666667,4.569272466666667,1.5193539945668826,18.132998671500584,19.65235266606747,True,"['tennis ball', 'chipmunk', 'sequel', 'overboard', 'cruise ship', 'football ball']",True
228,Alvin and the Chipmunks: The Squeakquel,75000000,"['Comedy', 'Family', 'Animation', 'Fantasy', 'Music']",23398,"['chipmunk', 'cgi', 'based on tv series', 'aftercreditsstinger', 'duringcreditsstinger', 'woman director']",en,"Pop sensations Alvin, Simon and Theodore end up in the care of Dave Seville's twenty-something nephew Toby. The boys must put aside music super stardom to return to school, and are tasked with saving the school's music program by winning the $25,000 prize in a battle of the bands. But the Chipmunks unexpectedly meet their match in three singing chipmunks known as The Chipettes - Brittany, Eleanor and Jeanette. Romantic and musical sparks are ignited when the Chipmunks and Chipettes square off.",29.412262,"['Regency Enterprises', 'Fox 2000 Pictures', 'Bagdasarian Productions']",['United States of America'],2009-12-21,443140005,88.0,"['English', 'Fran\\u00e7ais']",The Boys are back in town... and they have competition.,Alvin and the Chipmunks: The Squeakquel,5.4,666,Color,Betty Thomas,107.0,88.0,84.0,1000.0,Bridgit Mendler,1000.0,Amy Poehler,31649,5227,Jesse McCartney,0.0,"['adidas', 'chipmunk', 'hospital', 'school', 'waste container']",http://www.imdb.com/title/tt1231580/?ref_=fn_tt_tt_1,98.0,English,USA,PG,2009.0,1000.0,4.5,1.85,2000,368140005,4.9085334,5.9085334,1.7763976449539354,18.132998671500584,19.90939631645452,True,"['cgi', 'school', 'adidas', 'chipmunk', 'hospital', 'based on tv series', 'waste container', 'aftercreditsstinger', 'duringcreditsstinger', 'woman director']",True
229,Amadeus,18000000,"['Drama', 'History', 'Music']",279,"['italy', 'composer', 'opera', 'talent', 'musician', 'marriage crisis', 'god', 'murder', 'vienna austria', 'envy', '18th century']",en,"The incredible story of genius musician Wolfgang Amadeus Mozart, told in flashback by his peer and secret rival Antonio Salieri – now confined to an insane asylum.",31.82675,['Warner Bros.'],['United States of America'],1984-10-26,51973029,160.0,"['English', 'Deutsch', 'Italiano', 'Latin']",...Everything you've heard is true,Amadeus,7.8,1076,Color,Milos Forman,134.0,180.0,869.0,521.0,F. Murray Abraham,692.0,Jeffrey Jones,270790,3076,Tom Hulce,0.0,"['1800s', 'classical composer', 'composer', 'first person narration', 'opera']",http://www.imdb.com/title/tt0086879/?ref_=fn_tt_tt_1,549.0,English,USA,R,1984.0,670.0,8.3,2.35,16000,33973029,1.8873905,2.8873905,1.0603531530509296,16.70588231586044,17.76623546891137,True,"['marriage crisis', 'vienna austria', 'murder', 'italy', 'first person narration', 'opera', 'classical composer', 'musician', '18th century', 'envy', 'composer', 'god', 'talent', '1800s']",True
233,American Beauty,15000000,['Drama'],14,"['male nudity', 'female nudity', 'adultery', 'midlife crisis', 'coming out', 'first time', 'camcorder', 'virgin', 'nudity', 'film maker', 'estate agent', 'satire', 'loneliness', 'dark comedy', 'suburbia', 'coming of age', 'marijuana', 'exercise', 'parent child relationship', 'bittersweet', 'affair']",en,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",80.87860500000001,"['DreamWorks SKG', 'Jinks/Cohen Company']",['United States of America'],1999-09-15,356296601,122.0,['English'],Look closer.,American Beauty,7.9,3313,Color,Sam Mendes,176.0,122.0,0.0,158.0,Peter Gallagher,18000.0,Kevin Spacey,822500,19078,Ara Celi,0.0,"['domestic violence', 'drug dealer', 'homosexuality', 'midlife crisis', 'unfaithfulness']",http://www.imdb.com/title/tt0169547/?ref_=fn_tt_tt_1,2715.0,English,USA,R,1999.0,828.0,8.4,2.35,22000,341296601,22.753106733333333,23.753106733333333,3.1677133317503525,16.523560759066484,19.691274090816837,True,"['bittersweet', 'dark comedy', 'affair', 'nudity', 'marijuana', 'coming of age', 'homosexuality', 'male nudity', 'adultery', 'coming out', 'estate agent', 'satire', 'virgin', 'female nudity', 'midlife crisis', 'exercise', 'parent child relationship', 'unfaithfulness', 'film maker', 'loneliness', 'suburbia', 'first time', 'domestic violence', 'camcorder', 'drug dealer']",True
235,American Dreamz,17000000,"['Comedy', 'Drama', 'Family']",9310,"['usa president', 'moderator', 'musical', 'music', 'castingshow', 'image campaign', 'sleeper agent']",en,"The new season of ""American Dreamz,"" the wildly popular television singing contest, has captured the country's attention, as the competition looks to be between a young Midwestern gal (Moore) and a showtunes-loving young man from Orange County (Golzari). Recently awakened President Staton (Quaid) even wants in on the craze, as he signs up for the potential explosive season finale.",7.864011,"['Universal Pictures', 'Depth of Field']",['United States of America'],2006-03-04,7314027,107.0,"['English', 'Espa\\u00f1ol']",Imagine a country where more people vote for a pop idol than they do for their next President.,American Dreamz,4.9,95,Color,Paul Weitz,153.0,107.0,80.0,841.0,Dennis Quaid,2000.0,Judy Greer,22639,5992,Chris Klein,6.0,"['chief of staff', 'contest', 'president', 'singing', 'terrorist']",http://www.imdb.com/title/tt0465142/?ref_=fn_tt_tt_1,217.0,English,USA,PG-13,2006.0,2000.0,5.5,1.85,300,-9685973,-0.5697631176470588,0.43023688235294116,-0.8434193327853892,16.64872390202049,15.805304569235101,False,"['moderator', 'terrorist', 'contest', 'chief of staff', 'castingshow', 'image campaign', 'usa president', 'music', 'sleeper agent', 'president', 'singing', 'musical']",True
236,American Gangster,100000000,"['Drama', 'Crime']",4982,"['underdog', 'black people', 'drug traffic', 'drug smuggle', 'society', 'ambition', 'rise and fall', 'cop', 'drug dealing', 'police corruption', 'gangster', 'crime', 'police detective', 'family', 'law enforcement', 'aftercreditsstinger', 'dishonesty', 'criminal heroes']",en,"Following the death of his employer and mentor, Bumpy Johnson, Frank Lucas establishes himself as the number one importer of heroin in the Harlem district of Manhattan. He does so by buying heroin directly from the source in South East Asia and he comes up with a unique way of importing the drugs into the United States. Based on a true story.",42.361215,"['Imagine Entertainment', 'Universal Pictures', 'Scott Free Productions', 'Relativity Media', 'Film Rites']","['United Kingdom', 'United States of America']",2007-11-02,266465037,157.0,['English'],There are two sides to the American dream,American Gangster,7.4,1502,Color,Ridley Scott,300.0,176.0,0.0,561.0,Ruby Dee,18000.0,Denzel Washington,324671,20354,RZA,0.0,"['death', 'heroin', 'popcorn', 'smuggling', 'vietnam']",http://www.imdb.com/title/tt0765429/?ref_=fn_tt_tt_1,458.0,English,USA,R,2007.0,782.0,7.8,1.85,0,166465037,1.66465037,2.66465037,0.9800728557654426,18.420680743952367,19.40075359971781,True,"['underdog', 'family', 'drug dealing', 'law enforcement', 'gangster', 'police detective', 'dishonesty', 'drug traffic', 'death', 'rise and fall', 'crime', 'criminal heroes', 'black people', 'drug smuggle', 'smuggling', 'heroin', 'ambition', 'cop', 'police corruption', 'society', 'aftercreditsstinger', 'vietnam', 'popcorn']",True
240,American History X,20000000,['Drama'],73,"['usa', 'neo-nazi', 'prison', 'skinhead', 'brother brother relationship', 'rape', 'fascism', 'brother', 'basketball', 'jail', 'school', 'swastika', 'los angeles', 'family', 'hate', 'neo nazism', 'xenophobia', 'interracial friendship', 'nazism', 'prison rape']",en,"Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",73.56723199999999,"['New Line Cinema', 'The Turman-Morrissey Company', 'Savoy Pictures']",['United States of America'],1998-10-30,23875127,119.0,['English'],Some Legacies Must End.,American History X,8.2,3016, Black and White,Tony Kaye,162.0,101.0,194.0,602.0,Beverly D'Angelo,1000.0,Ethan Suplee,782437,3858,Stacy Keach,2.0,"['curb stomping', 'neo nazi', 'prison', ""son dislikes mother's boyfriend"", 'white supremacist']",http://www.imdb.com/title/tt0120586/?ref_=fn_tt_tt_1,1420.0,English,USA,R,1998.0,816.0,8.6,1.85,35000,3875127,0.19375635,1.19375635,0.1771049321703828,16.811242831518264,16.988347763688648,True,"['family', 'white supremacist', 'nazism', 'hate', 'rape', 'interracial friendship', 'basketball', 'usa', 'prison rape', 'prison', ""son dislikes mother's boyfriend"", 'swastika', 'brother brother relationship', 'skinhead', 'fascism', 'school', 'neo-nazi', 'neo nazism', 'xenophobia', 'brother', 'neo nazi', 'jail', 'los angeles', 'curb stomping']",True
241,American Hustle,40000000,"['Drama', 'Crime']",168672,"['con artist', 'scam', 'mobster', 'fbi agent']",en,"A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild FBI agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and mafia.",49.664128000000005,"['Columbia Pictures', 'Atlas Entertainment', 'Annapurna Pictures']",['United States of America'],2013-12-12,251171807,138.0,['English'],Everyone Hustles To Survive,American Hustle,6.8,2807,Color,David O. Russell,538.0,138.0,737.0,14000.0,Christian Bale,34000.0,Jennifer Lawrence,358416,83012,Bradley Cooper,5.0,"['based on true story', 'con artist', 'drunk wife', 'fbi investigation', 'scam']",http://www.imdb.com/title/tt1800241/?ref_=fn_tt_tt_1,751.0,English,USA,R,2013.0,23000.0,7.3,2.35,63000,211171807,5.279295175,6.279295175,1.8372577409012265,17.50439001207821,19.341647752979437,True,"['scam', 'fbi agent', 'fbi investigation', 'con artist', 'mobster', 'drunk wife', 'based on true story']",True
243,American Outlaws,35000000,"['Action', 'Western']",13496,"['sheriff', 'horse', 'outlaw', 'jesse james', 'cole younger']",en,"When a Midwest town learns that a corrupt railroad baron has captured the deeds to their homesteads without their knowledge, a group of young ranchers join forces to take back what is rightfully theirs. They will become the object of the biggest manhunt in the history of the Old West and, as their fame grows, so will the legend of their leader, a young outlaw by the name of Jessie James.",6.727949000000001,['Morgan Creek Productions'],['United States of America'],2001-08-17,13678913,94.0,['English'],Sometimes the wrong side of the law is the right place to be.,American Outlaws,5.7,55,Color,Les Mayfield,44.0,94.0,10.0,141.0,Ronny Cox,694.0,Gregory Smith,12077,1668,Harris Yulin,2.0,"['legend', 'old west', 'outlaw', 'railroad', 'stealing from the rich']",http://www.imdb.com/title/tt0244000/?ref_=fn_tt_tt_1,162.0,English,USA,PG-13,2001.0,605.0,6.0,1.85,433,-21321087,-0.6091739142857143,0.39082608571428573,-0.9394926115163754,17.37085861945369,16.431366007937314,False,"['horse', 'sheriff', 'outlaw', 'cole younger', 'old west', 'stealing from the rich', 'jesse james', 'railroad', 'legend']",True
244,American Pie,11000000,"['Comedy', 'Romance']",2105,"['graduation', 'innocence', 'coming of age', 'teenager', 'high school student', 'pie', 'teen comedy', 'teenage sexuality', 'exchange student', 'sitting on a toilet', 'voyeurism', 'virginity', 'laxative', 'prom night']",en,"At a high-school party, four friends find that losing their collective virginity isn't as easy as they had thought. But they still believe that they need to do so before college. To motivate themselves, they enter a pact to all ""score."" by their senior prom.",60.767168000000005,"['Universal Pictures', 'Summit Entertainment', 'Newmarket Capital Group', 'Zide-Perry Productions']",['United States of America'],1999-07-09,235483004,95.0,['English'],There's nothing like your first piece.,American Pie,6.4,2296,Color,Paul Weitz,145.0,95.0,80.0,1000.0,Shannon Elizabeth,3000.0,Alyson Hannigan,315549,8134,Natasha Lyonne,6.0,"['1990s', 'first love', 'milf', 'prom', 'virginity']",http://www.imdb.com/title/tt0163651/?ref_=fn_tt_tt_1,789.0,English,USA,R,1999.0,1000.0,7.0,1.85,0,224483004,20.40754581818182,21.40754581818182,3.063743468202353,16.213405830762646,19.277149298964996,True,"['virginity', 'coming of age', 'prom night', 'teen comedy', 'voyeurism', 'high school student', 'first love', 'pie', 'graduation', 'milf', 'prom', 'laxative', 'teenager', 'teenage sexuality', 'innocence', '1990s', 'exchange student', 'sitting on a toilet']",True
245,American Pie 2,30000000,"['Comedy', 'Romance']",2770,"['sex', 'party', 'summer', 'beach house', 'group of friends', 'gross out comedy', 'tantra', 'mistaken for a special education student', 'superglue', 'sex comedy']",en,"The whole gang are back and as close as ever. They decide to get even closer by spending the summer together at a beach house. They decide to hold the biggest party ever to be seen, even if the preparation doesn't always go to plan. Especially when Stifler, Finch and Jim become more close to each other than they ever want to be and when Jim mistakes super glue for lubricant...",36.432598,"['Universal Pictures', 'Liveplanet', 'Zide-Perry Productions']",['United States of America'],2001-08-10,287553595,108.0,['English'],This Summer It's All About Sticking Together.,American Pie 2,6.0,1344,Color,J.B. Rogers,142.0,108.0,6.0,1000.0,Shannon Elizabeth,3000.0,Alyson Hannigan,200260,7872,Natasha Lyonne,0.0,"['beach', 'beach house', 'college', 'party', 'student']",http://www.imdb.com/title/tt0252866/?ref_=fn_tt_tt_1,431.0,English,USA,R,2001.0,1000.0,6.4,1.85,0,257553595,8.585119833333334,9.585119833333334,2.260211878592991,17.216707939626428,19.47691981821942,True,"['summer', 'sex comedy', 'beach house', 'mistaken for a special education student', 'tantra', 'superglue', 'sex', 'college', 'gross out comedy', 'student', 'party', 'beach', 'group of friends']",True
246,American Psycho,7000000,"['Thriller', 'Drama', 'Crime']",1359,"['based on novel', 'wall street', 'psychopath', 'white collar', 'harvard business school', 'child of divorce', 'unreliable narrator', 'woman director', 'voice imitation']",en,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.",45.310443,"['Lions Gate Films', 'Edward R. Pressman Film', 'Muse Productions']","['Canada', 'United States of America']",2000-04-13,34266564,102.0,"['English', 'Espa\\u00f1ol', '\\u5e7f\\u5dde\\u8bdd / \\u5ee3\\u5dde\\u8a71']",I think my mask of sanity is about to slip.,American Psycho,7.3,2066,Color,Mary Harron,288.0,102.0,126.0,517.0,Justin Theroux,23000.0,Christian Bale,357275,25462,Samantha Mathis,1.0,"['1980s', 'business card', 'male rear nudity', 'materialism', 'narcissism']",http://www.imdb.com/title/tt0144084/?ref_=fn_tt_tt_1,1061.0,English,USA,R,2000.0,1000.0,7.6,2.35,18000,27266564,3.8952234285714287,4.895223428571429,1.588259919184204,15.761420707019587,17.349680626203792,True,"['narcissism', 'wall street', 'voice imitation', 'child of divorce', 'unreliable narrator', '1980s', 'based on novel', 'harvard business school', 'white collar', 'business card', 'psychopath', 'woman director', 'male rear nudity', 'materialism']",True
247,American Reunion,50000000,['Comedy'],71552,"['wife husband relationship', 'sequel', 'family reunion', 'masturbation', 'scat', 'high school reunion', 'quitting a job', 'milf', 'duringcreditsstinger']",en,"The characters we met a little more than a decade ago are returning to East Great Falls for their high-school reunion. In one long-overdue weekend, they will discover what has changed, who hasn’t and that time and distance can’t break the bonds of friendship. It was summer 1999 when four small-town Michigan boys began a quest to lose their virginity. In the years that have passed, Jim and Michelle married while Kevin and Vicky said goodbye. Oz and Heather grew apart, but Finch still longs for Stifler’s mom. Now these lifelong friends have come home as adults to reminisce about – and get inspired by – the hormonal teens who launched a comedy legend.",39.920035,['Universal Pictures'],['United States of America'],2012-04-04,234989584,113.0,['English'],Save the best piece for last.,American Reunion,6.1,1611,Color,Jon Hurwitz,291.0,113.0,22.0,1000.0,Dania Ramirez,3000.0,Alyson Hannigan,172112,8398,Natasha Lyonne,7.0,"['bikini', 'female female kiss', 'high school reunion', 'outdoor sex', 'upskirt']",http://www.imdb.com/title/tt1605630/?ref_=fn_tt_tt_1,181.0,English,USA,R,2012.0,1000.0,6.7,1.85,39000,184989584,3.69979168,4.69979168,1.5475181843294463,17.72753356339242,19.275051747721868,True,"['female female kiss', 'quitting a job', 'upskirt', 'sequel', 'duringcreditsstinger', 'milf', 'wife husband relationship', 'bikini', 'outdoor sex', 'high school reunion', 'scat', 'family reunion', 'masturbation']",True
248,American Sniper,58800000,"['War', 'Action']",190859,"['sniper', 'biography', 'iraq', 'navy seal', 'u.s. soldier']",en,"U.S. Navy SEAL Chris Kyle takes his sole mission—protect his comrades—to heart and becomes one of the most lethal snipers in American history. His pinpoint accuracy not only saves countless lives but also makes him a prime target of insurgents. Despite grave danger and his struggle to be a good husband and father to his family back in the States, Kyle serves four tours of duty in Iraq. However, when he finally returns home, he finds that he cannot leave the war behind.",87.53437,"['Village Roadshow Pictures', 'Malpaso Productions', 'Warner Bros.', 'RatPac-Dune Entertainment', 'Mad Chance Productions', '22 & Indiana Pictures']",['United States of America'],2014-12-11,542307423,133.0,['English'],The most lethal sniper in U.S. history.,American Sniper,7.4,4469,Color,Clint Eastwood,490.0,133.0,16000.0,318.0,Leonard Roberts,14000.0,Bradley Cooper,325264,16277,Keir O'Donnell,0.0,"['assassin', 'death of child', 'iraq', 'sniper', 'sniper rifle']",http://www.imdb.com/title/tt2179136/?ref_=fn_tt_tt_1,916.0,English,USA,R,2014.0,962.0,7.3,2.35,112000,483507423,8.222915357142858,9.222915357142858,2.2216911868443283,17.889652412868855,20.111343599713184,True,"['sniper rifle', 'u.s. soldier', 'navy seal', 'death of child', 'iraq', 'assassin', 'biography', 'sniper']",True
250,American Wedding,55000000,"['Comedy', 'Romance']",8273,"['handcuffs', 'sister sister relationship', 'spanner', 'blow job', 'stag night', 'wedding']",en,"With high school a distant memory, Jim and Michelle are getting married -- and in a hurry, since Jim's grandmother is sick and wants to see him walk down the aisle -- prompting Stifler to throw the ultimate bachelor party. And Jim's dad is reliable as ever, doling out advice no one wants to hear.",36.194802,"['Universal Pictures', 'Zide-Perry Productions', 'LivePlanet', 'Loumolo & Co.']",['United States of America'],2003-08-01,231449203,103.0,['English'],Forever hold your piece.,American Wedding,6.0,1129,Color,Jesse Dylan,153.0,74.0,58.0,729.0,Thomas Ian Nicholas,3000.0,Alyson Hannigan,162331,5713,Fred Willard,3.0,"['bachelor party', 'blow job', 'breasts', 'friend', 'wedding']",http://www.imdb.com/title/tt0328828/?ref_=fn_tt_tt_1,332.0,English,USA,R,2003.0,864.0,6.3,2.35,0,176449203,3.208167327272727,4.208167327272728,1.4370272387305627,17.822843743196746,19.259870981927307,True,"['sister sister relationship', 'blow job', 'handcuffs', 'bachelor party', 'breasts', 'wedding', 'spanner', 'stag night', 'friend']",True
253,Amistad,36000000,"['Drama', 'History', 'Mystery']",11831,"['cuba', 'mutiny', 'slavery', 'sentence', 'historical figure', 'havanna', 'tall ship', 'slave trade']",en,"In 1839, the slave ship Amistad set sail from Cuba to America. During the long trip, Cinque leads the slaves in an unprecedented uprising. They are then held prisoner in Connecticut, and their release becomes the subject of heated debate. Freed slave Theodore Joadson wants Cinque and the others exonerated and recruits property lawyer Roger Baldwin to help his case. Eventually, John Quincy Adams also becomes an ally.",3.6982760000000003,['DreamWorks SKG'],['United States of America'],1997-12-03,74000000,155.0,"['English', 'Espa\\u00f1ol']",Freedom is not given. It is our right at birth. But there are some moments when it must be taken.,Amistad,6.8,316,Color,Steven Spielberg,77.0,155.0,14000.0,11000.0,Morgan Freeman,12000.0,Anthony Hopkins,56509,37570,Matthew McConaughey,2.0,"['courtroom', 'mutiny', 'ship', 'slave ship', 'slave trade']",http://www.imdb.com/title/tt0118607/?ref_=fn_tt_tt_1,227.0,English,USA,R,1997.0,11000.0,7.2,1.85,0,38000000,1.0555555555555556,2.0555555555555554,0.7205461547480596,17.399029496420383,18.119575651168443,True,"['slave trade', 'historical figure', 'cuba', 'sentence', 'slave ship', 'slavery', 'courtroom', 'mutiny', 'havanna', 'ship', 'tall ship']",True
256,Amour,8900000,"['Drama', 'Romance']",86837,"['nurse', 'music teacher', 'aging', 'daughter', 'music', 'love', 'retired', 'illness', 'pigeon', 'stroke', 'octogenarian', 'old couple']",fr,"Georges and Anne are in their eighties. They are cultivated, retired music teachers. Their daughter, who is also a musician, lives abroad with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.",17.151293,"['Les Films du Losange', 'Wega Film', 'X-Filme Creative Pool']","['France', 'Austria', 'Germany']",2012-07-01,19839492,127.0,['Fran\\u00e7ais'],,Amour,7.5,400,Color,Michael Haneke,447.0,127.0,0.0,319.0,Emmanuelle Riva,678.0,Isabelle Huppert,70382,1557,Jean-Louis Trintignant,1.0,"['aging', 'daughter', 'old couple', 'old love', 'stroke']",http://www.imdb.com/title/tt1602620/?ref_=fn_tt_tt_1,190.0,French,France,PG-13,2012.0,432.0,7.9,1.85,33000,10939492,1.2291564044943821,2.229156404494382,0.8016232199521135,16.00156183470237,16.80318505465448,True,"['octogenarian', 'aging', 'illness', 'daughter', 'retired', 'old couple', 'pigeon', 'music teacher', 'old love', 'stroke', 'music', 'love', 'nurse']",False
257,An American Carol,20000000,"['Comedy', 'Fantasy']",13948,"['terrorist', 'parody', 'documentary filmmaker', 'sattire']",en,"In An American Carol a cynical, Anti-American Hollywood filmmaker sets out on a crusade to abolish the 4th of July holiday. He is visited by three spirits who take him on a hilarious journey in an attempt to show him the true meaning of America.",2.6053740000000003,['Mpower Pictures'],['United States of America'],2008-10-03,7000000,83.0,['English'],Laugh like you're country depends on it.,An American Carol,4.1,20,Color,David Zucker,45.0,83.0,119.0,633.0,Geoffrey Arend,885.0,Chriss Anglin,8560,2907,Gary Coleman,2.0,"['arab stereotype', 'box office flop', 'documentary filmmaker', 'filmmaker', 'terrorist']",http://www.imdb.com/title/tt1190617/?ref_=fn_tt_tt_1,205.0,English,USA,PG-13,2008.0,816.0,4.3,2.35,797,-13000000,-0.65,0.35,-1.0498221244986778,16.811242831518264,15.761420707019587,False,"['terrorist', 'documentary filmmaker', 'arab stereotype', 'filmmaker', 'box office flop', 'sattire', 'parody']",True
